ranking_risco_meta,id_municipio,id_municipio_nome,sigla_uf,alunos,historico_2023,meta_2024,taxa_prevista_2024,gap_previsto,alerta_nao_atingir,taxa_observada_2024,gap_observado,nao_atingiu_observado,probabilidade_media_risco
216,1502772,Curionópolis,PA,271,50.76,55.58,52.75996467382825,2.820035326171748,True,73.43173431734317,-17.851734317343173,False,0.4724003532617175
217,5202601,Aurilândia,GO,32,75.98,76.59,73.7712809078785,2.8187190921214977,True,93.75,-17.159999999999997,False,0.262287190921215
218,4202206,Benedito Novo,SC,121,59.665123,64.47,61.659358335613575,2.8106416643864236,True,70.24793388429752,-5.777933884297525,False,0.3834064166438641
219,4114104,Mandaguaçu,PR,338,60.150005,63.439995,60.6354020561106,2.8045929438894035,True,62.42603550295858,1.0139594970414265,True,0.393645979438894
220,4106506,Coronel Vivida,PR,301,80.52,80.0,77.2097849173508,2.7902150826491976,True,74.75083056478405,5.249169435215947,True,0.227902150826492
221,2110237,Santana do Maranhão,MA,60,85.85,80.0,77.20979810338129,2.7902018966187114,True,53.333333333333336,26.666666666666664,True,0.2279020189661871
222,2102507,Cajari,MA,72,53.27,57.699997,54.91208896213762,2.787908037862387,True,31.944444444444443,25.75555255555556,True,0.4508791103786238
223,2614808,Tacaratu,PE,151,56.04,60.020004,57.240141999434336,2.7798620005656645,True,74.17218543046357,-14.152181430463571,False,0.4275985800056566
224,4115002,Marilena,PR,86,84.46,80.0,77.23924332006679,2.760756679933209,True,75.5813953488372,4.418604651162795,True,0.227607566799332
225,2207850,Pavussu,PI,40,66.32,68.54,65.80424441955292,2.7357555804470906,True,90.0,-21.459999999999994,False,0.3419575558044708
226,4117800,Palmital,PR,131,74.27,75.15,72.47634074945437,2.67365925054564,True,69.46564885496184,5.684351145038164,True,0.2752365925054564
227,3500600,Águas de São Pedro,SP,42,81.85,80.0,77.33920132927682,2.6607986707231817,True,80.95238095238095,-0.952380952380949,False,0.2266079867072317
228,4103057,Boa Vista da Aparecida,PR,90,72.39,73.58,70.92017019622435,2.6598298037756507,True,53.333333333333336,20.246666666666663,True,0.2907982980377566
229,1100254,Presidente Médici,RO,202,59.76554,65.31,62.655488615664645,2.6545113843353576,True,68.31683168316832,-3.006831683168315,False,0.3734451138433535
230,3507100,Bom Jesus dos Perdões,SP,292,69.87,71.48,68.86298654064085,2.617013459359157,True,53.76712328767124,17.712876712328764,True,0.3113701345935915
231,2606002,Garanhuns,PE,1278,52.279995,56.859997,54.24323389165519,2.616763108344813,True,69.71830985915493,-12.858312859154928,False,0.4575676610834481
232,1100403,Alto Paraíso,RO,171,61.53,64.58,62.008844461262214,2.5711555387377842,True,60.23391812865497,4.346081871345028,True,0.3799115553873778
233,4108403,Francisco Beltrão,PR,1041,79.67,79.72,77.14970796813712,2.570292031862877,True,76.17675312199808,3.5432468780019235,True,0.2285029203186287
234,5006606,Ponta Porã,MS,1793,55.237343,61.45,58.88044751434547,2.5695524856545333,True,68.2654768544339,-6.815476854433896,False,0.4111955248565454
235,2505006,Cubati,PB,86,71.83,73.11,70.58099469926873,2.5290053007312707,True,97.67441860465115,-24.564418604651152,False,0.2941900530073127
236,2615201,Terra Nova,PE,115,62.03,64.99,62.46203309966092,2.5279669003390737,True,71.30434782608695,-6.3143478260869585,False,0.3753796690033908
237,2102903,Carutapera,MA,288,55.58,59.629997,57.11543568410662,2.5145613158933813,True,62.15277777777778,-2.5227807777777755,False,0.4288456431589338
238,3529500,Mendonça,SP,65,69.95,71.55,69.04635439690475,2.5036456030952507,True,78.46153846153847,-6.91153846153847,False,0.3095364560309525
239,2412203,São José de Mipibu,RN,541,33.592274,41.43,38.93259230512902,2.4974076948709794,True,34.195933456561924,7.234066543438075,True,0.6106740769487097
240,4200408,Água Doce,SC,75,64.75,67.24,64.76176007203445,2.4782399279655465,True,70.66666666666667,-3.4266666666666765,False,0.3523823992796555
241,4114609,Marechal Cândido Rondon,PR,659,75.3,76.01,73.60944180670441,2.400558193295595,True,76.4795144157815,-0.46951441578148945,False,0.2639055819329559
242,4107157,Diamante D'Oeste,PR,74,67.21,69.28,66.88715507750842,2.3928449224915767,True,74.32432432432432,-5.044324324324322,False,0.3311284492249158
243,1505601,Peixe-Boi,PA,70,53.76,58.11,55.72095932090866,2.3890406790913374,True,84.28571428571429,-26.175714285714292,False,0.4427904067909134
244,5005681,Mundo Novo,MS,239,82.669914,80.0,77.61188931743847,2.388110682561532,True,48.95397489539749,31.046025104602514,True,0.2238811068256153
245,3304409,Rio Claro,RJ,147,65.58,67.93,65.55892472975813,2.3710752702418745,True,65.3061224489796,2.6238775510204135,True,0.3444107527024187
246,4103370,Brasilândia do Sul,PR,36,74.32,75.19,72.85662711481218,2.3333728851878135,True,77.77777777777779,-2.587777777777788,False,0.2714337288518781
247,3541059,Pratânia,SP,82,56.059998,60.03,57.706852640843096,2.3231473591569056,True,57.3170731707317,2.712926829268298,True,0.422931473591569
248,3504107,Atibaia,SP,1697,70.565674,72.05,69.74007423059439,2.3099257694056092,True,65.3506187389511,6.699381261048899,True,0.3025992576940562
249,2913101,Ibititá,BA,100,26.1,33.31,31.00049594315792,2.3095040568420835,True,28.000000000000004,5.309999999999999,True,0.6899950405684208
250,3306107,Valença,RJ,718,58.36,61.95,59.64275554743098,2.307244452569023,True,55.71030640668524,6.239693593314762,True,0.4035724445256902
251,2608107,João Alfredo,PE,169,56.99,60.810005,58.53454247960052,2.275462520399479,True,75.7396449704142,-14.929639970414208,False,0.4146545752039948
252,2804102,Moita Bonita,SE,90,43.16,49.05,46.82763067928975,2.22236932071025,True,57.77777777777777,-8.727777777777774,False,0.5317236932071024
253,2210631,Sebastião Leal,PI,52,93.5,80.0,77.8757891694763,2.124210830523694,True,76.92307692307693,3.076923076923066,True,0.2212421083052369
254,2608404,Jurema,PE,155,53.46,57.86,55.775554429006355,2.084445570993644,True,60.64516129032258,-2.785161290322577,False,0.4422444557099364
255,2502508,Boqueirão,PB,95,38.0,44.48,42.449221905944874,2.0307780940551226,True,36.84210526315789,7.637894736842107,True,0.5755077809405513
256,2615003,Taquaritinga do Norte,PE,235,59.65,63.02,60.993097718917674,2.0269022810823287,True,59.57446808510638,3.445531914893621,True,0.3900690228108232
257,4102406,Bandeirantes,PR,302,75.41,76.11,74.09894614347789,2.0110538565221106,True,72.84768211920529,3.2623178807947113,True,0.2590105385652211
258,4110607,Iporã,PR,129,64.15,66.75,64.74620399686295,2.0037960031370545,True,68.21705426356588,-1.4670542635658848,False,0.3525379600313705
259,1301704,Humaitá,AM,762,51.167164,55.15,53.166127449648926,1.983872550351073,True,57.874015748031496,-2.7240157480314977,False,0.4683387255035108
260,1505304,Oriximiná,PA,734,34.52,41.32,39.35569948078335,1.9643005192166498,True,31.60762942779291,9.712370572207089,True,0.6064430051921665
261,4104402,Cândido de Abreu,PR,153,83.34,80.0,78.05458926404604,1.9454107359539563,True,85.62091503267973,-5.620915032679733,False,0.2194541073595395
262,1502004,Cachoeira do Arari,PA,207,54.84768,56.72,54.7893915091125,1.9306084908875007,True,35.748792270531396,20.971207729468603,True,0.4521060849088751
263,2803302,Japaratuba,SE,167,42.14,48.16,46.24091216184026,1.91908783815974,True,58.08383233532935,-9.923832335329351,False,0.5375908783815974
264,3302502,Magé,RJ,2969,46.26,51.74,49.82272652680259,1.9172734731974117,True,46.78342876389356,4.956571236106441,True,0.501772734731974
265,4217402,Schroeder,SC,263,60.659275,65.84,63.93647048627206,1.9035295137279462,True,74.52471482889734,-8.684714828897341,False,0.3606352951372795
266,1100189,Pimenta Bueno,RO,472,69.73,71.37,69.49751725976809,1.8724827402319164,True,81.77966101694916,-10.409661016949158,False,0.3050248274023192
267,2925501,Prado,BA,391,40.943684,41.65,39.805522873226664,1.8444771267733344,True,32.73657289002558,8.913427109974421,True,0.6019447712677333
268,2210102,São José do Peixe,PI,40,76.0,76.6,74.81940044336669,1.7805995566333053,True,75.0,1.5999999999999943,True,0.2518059955663331
269,3528809,Maracaí,SP,110,84.81,80.0,78.23054755192193,1.76945244807807,True,90.90909090909092,-10.90909090909092,False,0.2176945244807807
270,3301306,Casimiro de Abreu,RJ,500,54.93,59.09,57.3205713192874,1.7694286807126005,True,58.8,0.29000000000000625,True,0.4267942868071259
271,2210953,Tamboril do Piauí,PI,43,68.75,70.55,68.78464761374383,1.7653523862561684,True,65.11627906976744,5.433720930232553,True,0.3121535238625617
